Area,Organization,meetingType,Office,Politician,Party_Affiliation,Term_Start,Term_End
Ponderay,Administration,meeting,Mayor,Steve_Geiger,,,
Ponderay,City_Council,meeting,President,Phil_McNearney,,,
Ponderay,City_Council,meeting,Member,Brenda_Thompson,,,
Ponderay,City_Council,meeting,Member,Brad_Milton,,,
Ponderay,City_Council,meeting,Member,Kathy_Osborne,,,
Sandpoint,City_Council,meeting,Member,Shannon_Sherman,,18-Jan,22-Jan
Sandpoint,City_Council,meeting,Member,Deb_Ruehle,,20-Jan,24-Jan
Sandpoint,City_Council,meeting,Member,Joel_Aispuro,,18-Jan,22-Jan
Sandpoint,City_Council,meeting,Member,John_Darling,,18-Jan,22-Jan
Sandpoint,City_Council,meeting,Member,Kate_McAlister,,20-Jan,24-Jan
Sandpoint,City_Council,meeting,Member,Andy_Groat,,20-Jan,24-Jan
Bonner,Library_District_Board_of_Trustees,meeting,Chair,Amy_Flint,,,
Bonner,Library_District_Board_of_Trustees,meeting,Trustee,Jeanine_Asche,,,
Bonner,Library_District_Board_of_Trustees,meeting,Trustee,Joan_Terrell,,,
Bonner,Library_District_Board_of_Trustees,meeting,Vice-Chair,Judy_Myers,,,
Bonner,Library_District_Board_of_Trustees,meeting,Trustee,Susan_Shea,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Ford_Elaesser,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Tim_Cochran,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Thomas_Lawrence,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Scott_Burgstahler,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Jim_Frank,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Bart_Casey,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Michelle_Anderson,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Director,Shawn_Woodward,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,Emeritus,Jack_Parker,,,
Bonner,Bonner_General_Health_Board_of_Directors,meeting,BGH_CEO,Daryl_Rickard,,,
Idaho,State_Legislature_District_1_-_Bonner_County,meeting,Senator,Jim_Woodward,Republican,,
Idaho,State_Legislature_District_1_-_Bonner_County,meeting,Representative,Heather_Scott,Republican,,
Idaho,State_Legislature_District_1_-_Bonner_County,meeting,Representative,Sage_Dixon,Republican,,
Lake_Pend_Orielle_School_District,Board_of_Trustees,meeting,Trustee,Purley_Decker,,,
Lake_Pend_Orielle_School_District,Board_of_Trustees,meeting,Trustee,Gary_Suppiger,,,
Lake_Pend_Orielle_School_District,Board_of_Trustees,meeting,Vice-Chair,Lonnie_Williams,,,
Lake_Pend_Orielle_School_District,Board_of_Trustees,meeting,Chair,Geraldine_Lewis,,,
Lake_Pend_Orielle_School_District,Board_of_Trustees,meeting,Trustee,Cary_Kelly,,,
US,Congress,meeting,Senator,Jim_Risch,Republican,,
US,Congress,meeting,Senator,Mike_Crapo,Republican,,
Idaho,Executive,meeting,Governor,Brad_Little,Republican,,
Idaho,State_Legislature_District_7_Bonner_County,meeting,Representative,Carl_Crabtree,Republican,,
Idaho,State_Legislature_District_7_Bonner_County,meeting,Representative,Priscilla_Giddings,Republican,,
Idaho,State_Legislature_District_7_Bonner_County,meeting,Representative,Charlie_Shepherd,Republican,,
Panhandle_Region,Panhandle_Health_District_(Bonner),meeting,Member,Allen_Banks,,,
Panhandle_Region,Panhandle_Health_District_(Bonner),meeting,Member,Glen_Bailey,,,
Bonner,County_Comissioners,meeting,District_3,Dan_McDonald,,,23-Jan
Bonner,County_Comissioners,meeting,District_1,Steven_Bradshaw,,,25-Jan
Bonner,County_Comissioners,meeting,District_2,Jeff_Connolly,,,23-Jan
Bonner,Administration,meeting,County_Prosecutor,Louis_Marshall,,,
Sandpoint,Administration,meeting,Mayor,Shelby_Rognstad,,,
Bonner,Administration,meeting,Sheriff,Daryll_Wheeler,,21-Jan,25-Jan
Bayview,Water_&_Sewer_District,meeting,Seat_1,Coleen_Dahlseid,,,23-May
Bayview,Water_&_Sewer_District,meeting,Seat_2,Lary_Leake_(Vice-Chair),,,23-May
Bayview,Water_&_Sewer_District,meeting,Seat_3,Calvin_Nolan,,,25-May
Bayview,Water_&_Sewer_District,meeting,Seat_4,Ted_Bare,,,21-May
Bayview,Water_&_Sewer_District,meeting,Seat_5,Ali_Spahn_(Chair),,,21-May
Bottle_Bay,Recreational_Water_&_Sewer_District,meeting,Director,Ken_Hooper,,,
Bottle_Bay,Recreational_Water_&_Sewer_District,meeting,Director,Will_Valentine,,,
Bottle_Bay,Recreational_Water_&_Sewer_District,meeting,Chair,Kirby_McKee,,,
