name (where is this from),address,Source:,
AMBULANCE,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/2/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/2/query?outFields=*&where=1%3D1&f=geojson,
,,,
AUDITORIUM ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/3/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/3/query?outFields=*&where=1%3D1&f=geojson,
,,,
CEMETERY  ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/5/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/5/query?outFields=*&where=1%3D1&f=geojson,
,,,
CITY  ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/6/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/6/query?outFields=*&where=1%3D1&f=geojson,
,,,
COMMUNITY INFRASTRUCTURE ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/14/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/14/query?outFields=*&where=1%3D1&f=geojson,
,,,
COMMUNITY  COLLEGE ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/15/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/15/query?outFields=*&where=1%3D1&f=geojson,
,,,
COUNTY ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/7/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/7/query?outFields=*&where=1%3D1&f=geojson,
,,,
DRAINAGE ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/8/query?outFields=*&where=1%3D1,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/8/query?outFields=*&where=1%3D1,
,,,
FIRE ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/10/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/10/query?outFields=*&where=1%3D1&f=geojson,
,,,
FIRE BOND,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/9/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/9/query?outFields=*&where=1%3D1&f=geojson,
,,,
FLOOD  ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/11/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/11/query?outFields=*&where=1%3D1&f=geojson,
,,,
HIGHWAY,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/12/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/12/query?outFields=*&where=1%3D1&f=geojson,
,,,
HIGHWAY BOND ,N/A,N/A,
,,,
HOSPITAL ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/13/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/13/query?outFields=*&where=1%3D1&f=geojson,
,,,
HOSPITAL BOND,N/A,N/A,
,,,
LEVEE,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/17/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/17/query?outFields=*&where=1%3D1&f=geojson,
,,,
LIBRARY,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/18/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/18/query?outFields=*&where=1%3D1&f=geojson,
,,,
LIBRARY BOND ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/16/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/16/query?outFields=*&where=1%3D1&f=geojson,
,,,
MOSQUITO ABATEMENT ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/19/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/19/query?outFields=*&where=1%3D1&f=geojson,
,,,
PEST CONTROL ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/20/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/20/query?outFields=*&where=1%3D1&f=geojson,
,,,
PORT ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/21/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/21/query?outFields=*&where=1%3D1&f=geojson,
,,,
RECREATION ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/22/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/22/query?outFields=*&where=1%3D1&f=geojson,
,,,
SCHOOL ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/24/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/24/query?outFields=*&where=1%3D1&f=geojson,
,,,
SCHOOL BOND,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/23/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/23/query?outFields=*&where=1%3D1&f=geojson,
,,,
SEWER,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/25/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/25/query?outFields=*&where=1%3D1&f=geojson,
,,,
SEWER AND WATER,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/27/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/27/query?outFields=*&where=1%3D1&f=geojson,
,,,
SOLID WASTE,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/26/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/26/query?outFields=*&where=1%3D1&f=geojson,
,,,
STATE,N/A,N/A,
,,,
URBAN RENEWAL,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/28/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/28/query?outFields=*&where=1%3D1&f=geojson,
,,,
WATER,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/29/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/29/query?outFields=*&where=1%3D1&f=geojson,
,,,
WATER AND SEWER BOND ,N/A,N/A,
,,,
WATERSHED,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/31/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/31/query?outFields=*&where=1%3D1&f=geojson,
,,,
WEATHER MODIFICATION ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/32/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/32/query?outFields=*&where=1%3D1&f=geojson,
,,,
WEED CONTROL ,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/30/query?outFields=*&where=1%3D1&f=geojson,https://services.arcgis.com/91hXl6NfvLGEi8x5/arcgis/rest/services/Idaho_City_Taxing_Districts/FeatureServer/30/query?outFields=*&where=1%3D1&f=geojson,
